,latitude,wind_speed,wind_degree,pressure,precip,humidity,cloudcover,uv_index,visibility,is_day,temperature,weather_descriptions,feelslike
7,84.94,14,163,1022,0.0,80,5,1,10,False,0,['Clear'],-4
8,84.22,14,163,1022,0.0,80,5,1,10,False,0,['Clear'],-4
9,83.49,14,163,1022,0.0,80,5,1,10,False,0,['Clear'],-4
10,82.77,14,163,1022,0.0,80,5,1,10,False,0,['Clear'],-4
11,82.05,28,109,1013,0.0,80,37,1,10,False,5,['Partly cloudy'],1
12,81.33,28,109,1013,0.0,80,37,1,10,False,5,['Partly cloudy'],1
13,80.6,28,109,1013,0.0,80,37,1,10,False,5,['Partly cloudy'],1
14,79.88,28,109,1013,0.0,80,37,1,10,False,5,['Partly cloudy'],1
15,79.16,23,60,1011,0.0,87,93,1,10,False,4,['Overcast'],-1
16,78.43,23,60,1011,0.0,87,93,1,10,False,4,['Overcast'],-1
17,77.71,23,60,1011,0.0,87,93,1,10,False,4,['Overcast'],-1
18,76.99,51,67,1007,13.5,94,100,1,5,False,5,['Heavy rain'],-1
19,76.27,51,67,1007,13.5,94,100,1,5,False,5,['Heavy rain'],-1
20,75.54,13,211,1005,0.0,99,100,2,10,True,8,['Overcast'],5
21,74.82,13,211,1005,0.0,99,100,2,10,True,8,['Overcast'],5
22,74.1,13,211,1005,0.0,99,100,2,10,True,8,['Overcast'],5
23,73.37,13,211,1005,0.0,99,100,2,10,True,8,['Overcast'],5
24,72.65,13,211,1005,0.0,99,100,2,10,True,8,['Overcast'],5
25,71.93,17,358,1007,0.4,90,50,3,10,True,13,['Light rain shower'],12
26,71.2,5,244,1009,0.6000000000000001,100,100,3,2,True,11,['Light drizzle'],11
27,70.48,5,244,1009,0.6000000000000001,100,100,3,2,True,11,['Light drizzle'],11
28,69.76,4,340,1010,0.0,96,84,2,2,True,9,['Mist'],9
29,69.04,4,122,1008,0.0,86,48,3,10,True,10,['Partly cloudy'],10
30,68.31,16,161,1009,0.8,88,86,3,10,True,13,['Light rain shower'],12
31,67.59,7,200,1010,2.0,88,75,4,10,True,20,['Partly cloudy'],20
32,66.87,11,163,1009,2.1,78,75,5,9,True,20,['Patchy rain possible'],20
33,66.14,17,169,1010,0.0,67,8,6,10,True,23,['Sunny'],25
34,65.42,19,168,1010,0.0,74,12,6,10,True,21,['Sunny'],21
35,64.7,17,174,1011,0.0,74,16,6,10,True,22,['Sunny'],22
36,63.98,11,130,1012,0.0,88,0,6,10,False,21,['Clear'],21
37,63.25,18,173,1012,0.8,89,73,4,9,False,19,['Patchy rain possible'],19
38,62.53,24,173,1013,0.0,82,17,5,10,False,20,['Sunny'],20
39,61.81,11,158,1014,1.2,85,76,4,9,False,19,['Patchy rain possible'],19
40,61.08,17,159,1014,0.0,69,24,6,10,False,22,['Sunny'],25
41,60.36,20,150,1012,0.30000000000000004,73,0,5,10,False,23,['Clear'],25
42,59.64,18,167,1012,1.2,86,84,5,9,False,20,['Patchy rain possible'],20
43,58.92,18,167,1012,1.2,86,84,5,9,False,20,['Patchy rain possible'],20
44,58.19,22,159,1011,0.0,83,30,6,10,False,22,['Partly cloudy'],22
45,57.47,17,143,1011,0.0,82,23,6,10,False,22,['Sunny'],25
46,56.75,10,134,1011,2.9,78,81,5,7,False,23,['Moderate or heavy rain shower'],25
47,56.02,11,130,1011,3.1,71,88,5,7,False,24,['Moderate or heavy rain shower'],26
48,55.3,25,118,1011,0.1,72,87,5,10,False,25,['Patchy rain possible'],26
49,54.58,14,137,1010,0.0,48,22,7,10,False,26,['Sunny'],26
50,53.86,11,123,1011,0.0,60,36,6,10,False,24,['Partly cloudy'],25
