,latitude,wind_speed,wind_degree,pressure,precip,humidity,cloudcover,uv_index,visibility,is_day,temperature,weather_descriptions,feelslike
7,84.94,14,163,1022,0,80,5,1,10,no,0,['Clear'],-4
8,84.22,14,163,1022,0,80,5,1,10,no,0,['Clear'],-4
9,83.49,14,163,1022,0,80,5,1,10,no,0,['Clear'],-4
10,82.77,14,163,1022,0,80,5,1,10,no,0,['Clear'],-4
11,82.05,28,109,1013,0,80,37,1,10,no,5,['Partly cloudy'],1
12,81.33,28,109,1013,0,80,37,1,10,no,5,['Partly cloudy'],1
13,80.60,28,109,1013,0,80,37,1,10,no,5,['Partly cloudy'],1
14,79.88,28,109,1013,0,80,37,1,10,no,5,['Partly cloudy'],1
15,79.16,23,60,1011,0,87,93,1,10,no,4,['Overcast'],-1
16,78.43,23,60,1011,0,87,93,1,10,no,4,['Overcast'],-1
17,77.71,23,60,1011,0,87,93,1,10,no,4,['Overcast'],-1
18,76.99,51,67,1007,13.5,94,100,1,5,no,5,['Heavy rain'],-1
19,76.27,51,67,1007,13.5,94,100,1,5,no,5,['Heavy rain'],-1
20,75.54,13,211,1005,0,99,100,2,10,yes,8,['Overcast'],5
21,74.82,13,211,1005,0,99,100,2,10,yes,8,['Overcast'],5
22,74.10,13,211,1005,0,99,100,2,10,yes,8,['Overcast'],5
23,73.37,13,211,1005,0,99,100,2,10,yes,8,['Overcast'],5
24,72.65,13,211,1005,0,99,100,2,10,yes,8,['Overcast'],5
25,71.93,17,358,1007,0.4,90,50,3,10,yes,13,['Light rain shower'],12
26,71.20,5,244,1009,0.6000000000000001,100,100,3,2,yes,11,['Light drizzle'],11
27,70.48,5,244,1009,0.6000000000000001,100,100,3,2,yes,11,['Light drizzle'],11
28,69.76,4,340,1010,0,96,84,2,2,yes,9,['Mist'],9
29,69.04,4,122,1008,0,86,48,3,10,yes,10,['Partly cloudy'],10
30,68.31,16,161,1009,0.8,88,86,3,10,yes,13,['Light rain shower'],12
31,67.59,7,200,1010,2,88,75,4,10,yes,20,['Partly cloudy'],20
32,66.87,11,163,1009,2.1,78,75,5,9,yes,20,['Patchy rain possible'],20
33,66.14,17,169,1010,0,67,8,6,10,yes,23,['Sunny'],25
34,65.42,19,168,1010,0,74,12,6,10,yes,21,['Sunny'],21
35,64.70,17,174,1011,0,74,16,6,10,yes,22,['Sunny'],22
36,63.98,11,130,1012,0,88,0,6,10,no,21,['Clear'],21
37,63.25,18,173,1012,0.8,89,73,4,9,no,19,['Patchy rain possible'],19
38,62.53,24,173,1013,0,82,17,5,10,no,20,['Sunny'],20
39,61.81,11,158,1014,1.2,85,76,4,9,no,19,['Patchy rain possible'],19
40,61.08,17,159,1014,0,69,24,6,10,no,22,['Sunny'],25
41,60.36,20,150,1012,0.30000000000000004,73,0,5,10,no,23,['Clear'],25
42,59.64,18,167,1012,1.2,86,84,5,9,no,20,['Patchy rain possible'],20
43,58.92,18,167,1012,1.2,86,84,5,9,no,20,['Patchy rain possible'],20
44,58.19,22,159,1011,0,83,30,6,10,no,22,['Partly cloudy'],22
45,57.47,17,143,1011,0,82,23,6,10,no,22,['Sunny'],25
46,56.75,10,134,1011,2.9,78,81,5,7,no,23,['Moderate or heavy rain shower'],25
47,56.02,11,130,1011,3.1,71,88,5,7,no,24,['Moderate or heavy rain shower'],26
48,55.30,25,118,1011,0.1,72,87,5,10,no,25,['Patchy rain possible'],26
49,54.58,14,137,1010,0,48,22,7,10,no,26,['Sunny'],26
50,53.86,11,123,1011,0,60,36,6,10,no,24,['Partly cloudy'],25
51,53.13,12,107,1011,0,61,24,6,10,no,24,['Sunny'],25
52,52.41,8,134,1010,0,63,18,6,10,no,24,['Sunny'],26
53,51.69,4,15,1010,0,71,28,6,10,no,22,['Partly cloudy'],25
54,50.96,8,124,1010,0.7000000000000001,77,79,5,9,no,21,['Patchy rain possible'],21
55,50.24,6,200,1010,0.1,78,0,4,10,no,24,['Clear'],26
56,49.52,4,215,1013,4,92,77,4,7,no,16,['Moderate or heavy rain shower'],16
57,48.80,5,34,1012,0,89,18,4,10,no,13,['Sunny'],13
58,48.07,13,5,1010,0,74,16,5,10,no,20,['Sunny'],20
59,47.35,11,350,1008,0,51,75,7,10,no,27,['Partly cloudy'],28
60,46.63,6,228,1008,0,39,21,7,10,no,27,['Sunny'],27
61,45.90,8,210,1008,0.2,31,74,6,9,no,28,['Patchy rain possible'],27
62,45.18,13,252,1009,0,35,20,7,10,no,28,['Sunny'],27
63,44.46,17,207,1012,0,69,15,6,10,no,23,['Sunny'],25
64,43.73,10,251,1014,0.6000000000000001,83,74,4,5,no,16,['Patchy light drizzle'],16
65,43.01,6,355,1015,0.7000000000000001,82,71,4,9,no,15,['Patchy rain possible'],15
66,42.29,6,243,1012,0,52,12,5,10,no,20,['Sunny'],20
67,41.57,4,177,1013,0,61,0,6,10,no,25,['Clear'],26
68,40.84,4,71,1012,0,60,9,7,10,no,27,['Sunny'],28
69,40.12,4,243,1013,0,66,5,6,10,no,25,['Sunny'],26
70,39.40,4,143,1011,0,74,25,7,10,no,27,['Partly cloudy'],30
71,38.67,10,144,1012,0,82,8,7,10,no,26,['Sunny'],29
72,37.95,6,236,1012,0,82,14,7,10,no,27,['Sunny'],31
73,37.23,5,269,1013,0,84,6,7,10,no,28,['Sunny'],32
74,36.51,7,284,1013,0,79,10,7,10,no,26,['Sunny'],28
75,35.78,23,318,1012,0,74,4,7,10,no,27,['Sunny'],29
76,35.06,23,318,1012,0,74,4,7,10,no,27,['Sunny'],29
77,34.34,18,8,1014,0,59,3,7,10,no,26,['Sunny'],27
78,33.61,18,8,1014,0,59,3,7,10,no,26,['Sunny'],27
79,32.89,25,13,1014,0,46,3,7,10,no,29,['Sunny'],30
80,32.17,25,13,1014,0,46,3,7,10,no,29,['Sunny'],30
81,31.45,32,351,1013,0,53,2,8,10,no,30,['Sunny'],32
82,30.72,29,324,1012,0,60,0,7,10,no,28,['Sunny'],30
83,30.00,29,324,1012,0,60,0,7,10,no,28,['Sunny'],30
84,29.28,19,23,1010,0,18,0,8,10,no,35,['Sunny'],33
85,28.55,19,23,1010,0,18,0,8,10,no,35,['Sunny'],33
86,27.83,19,23,1010,0,18,0,8,10,no,35,['Sunny'],33
87,27.11,13,31,1009,0,16,0,9,10,no,35,['Sunny'],34
88,26.39,13,31,1009,0,16,0,9,10,no,35,['Sunny'],34
89,25.66,13,31,1009,0,16,0,9,10,no,35,['Sunny'],34
90,24.94,13,31,1009,0,16,0,9,10,no,35,['Sunny'],34
91,24.22,13,31,1009,0,16,0,9,10,no,35,['Sunny'],34
92,23.49,15,1,1009,0,18,0,8,10,no,34,['Sunny'],32
93,22.77,17,48,1008,0,16,4,1,10,no,34,['Clear'],32
94,22.05,17,48,1008,0,16,4,1,10,no,34,['Clear'],32
95,21.33,15,49,1007,0,14,5,9,10,no,36,['Sunny'],35
96,20.60,15,49,1007,0,14,5,9,10,no,36,['Sunny'],35
97,19.88,15,49,1007,0,14,5,9,10,no,36,['Sunny'],35
98,19.16,10,168,1006,0,13,7,9,10,no,38,['Sunny'],38
99,18.43,10,168,1006,0,13,7,9,10,no,38,['Sunny'],38
100,17.71,10,168,1006,0,13,7,9,10,no,38,['Sunny'],38
101,16.99,10,168,1006,0,13,7,9,10,no,38,['Sunny'],38
102,16.27,13,222,1010,0,71,56,1,10,no,27,['Partly cloudy'],29
103,15.54,13,222,1010,0,71,56,1,10,no,27,['Partly cloudy'],29
104,14.82,13,209,1010,0.1,76,51,6,10,no,26,['Patchy rain possible'],28
105,14.10,13,209,1010,0.1,76,51,6,10,no,26,['Patchy rain possible'],28
